ERCC_00076	63.5147715234	626	2,0,11,13,6,12,2,2,10,8,11,16,17,4,2,6,5,8,7,7,3,4,7,16,3,3,11,23,3,14,22,7,8,22,23,10,20,14,15,12,10,13,6,18,12,13,5
ERCC_00077	0.9924183064	255	0,0,0,0,1,1,0,0,1,0,0,3,1,0,0,0,0,1,0,1,1,0,3,3,2,0,2,3,0,1,0,0,0,0,0,1,0,0,2,4,1,1,1,3,0,0,0
ERCC_00078	7.9393464404	974	1,1,0,0,1,1,1,2,0,0,4,1,2,1,0,2,0,1,1,2,1,1,0,2,0,0,0,4,1,0,2,0,0,0,2,0,2,2,1,3,1,0,0,1,0,1,1
ERCC_00079	15.8786928809	625	3,1,3,2,4,2,0,2,5,4,2,3,6,0,1,2,4,5,3,6,3,6,2,3,1,9,4,5,0,3,3,5,3,1,5,2,3,0,4,6,3,2,1,5,3,8,2
ERCC_00084	7.9393464404	979	0,0,1,3,1,3,0,1,2,1,1,0,1,1,0,1,0,0,1,1,1,0,2,1,3,0,0,4,0,2,2,2,1,2,4,2,2,1,2,1,2,1,1,3,2,1,0
ERCC_00085	1.9848366101	825	1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,1
ERCC_00092	63.5147715234	1107	10,5,5,11,8,14,0,13,9,4,12,16,17,8,7,3,23,16,12,11,10,8,4,19,10,14,11,15,2,10,18,6,10,17,13,10,13,14,10,28,13,10,16,11,9,8,9
ERCC_00095	31.7573857617	505	3,3,16,14,10,9,4,7,18,15,9,13,13,10,2,8,8,12,9,6,8,4,8,19,5,6,17,16,1,14,13,8,5,9,20,11,10,10,8,22,13,28,14,19,12,15,7
ERCC_00096	4064.9453775	1095	185,243,650,818,576,648,134,274,565,645,647,764,903,315,288,423,471,765,675,677,560,286,212,706,431,378,657,868,105,601,1064,491,360,822,997,528,862,763,693,1045,829,631,473,563,597,725,462
ERCC_00099	3.9696732202	1337	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
