Fnbp1l	4,2,0,4,1,0,1,0,0,1,0,1,3,0,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp1b2	0,1,1,3,0,4,0,2,2,2,4,6,0,6,0,2,4,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,2,0,0,1,0
Necab1	1,5,0,0,0,0,0,0,0,0,0,2,2,0,10,7,0,0,4,0,4,0,0,2,0,0,0,0,5,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nr2f2	0,3,0,0,2,2,0,0,0,1,2,0,1,0,3,14,14,1,1,1,0,1,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Sub1	33,22,2,12,13,25,17,12,8,12,18,6,60,28,49,54,49,126,25,51,25,21,28,13,3,5,1,2,12,4,10,1,34,0,20,3,4,4,4,5,1,6,4,0,1,10,1
Ptprf	0,0,2,0,1,3,0,3,2,4,0,0,1,0,3,10,9,4,1,1,1,3,0,0,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,6,0,0,1,0,1,0,0
Cers5	0,1,1,0,0,2,0,0,0,2,0,0,0,0,1,1,3,0,1,0,3,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Cntnap2	1,1,1,7,3,0,3,0,1,2,0,2,3,2,0,2,5,3,4,5,2,1,1,5,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,1,0,0,1,0
Rit2	0,0,0,0,0,1,0,0,1,1,0,0,2,1,6,4,9,5,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Scg2	2,1,13,13,2,4,35,8,3,13,1,7,1,30,2,3,58,12,22,7,3,33,1,4,0,0,2,0,2,0,2,0,9,0,8,2,0,0,0,0,0,0,0,0,0,0,0
B3galnt1	0,1,1,2,2,0,0,9,0,0,0,1,0,6,3,7,3,4,4,1,0,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gm9846	1,1,0,1,0,1,0,1,0,7,0,0,5,0,2,3,2,2,2,5,2,0,0,2,4,3,2,2,21,1,5,2,1,1,8,0,1,2,1,13,0,0,1,4,1,0,4
Stmn1	1,1,0,0,0,2,0,0,0,2,5,2,3,3,6,12,8,3,1,3,0,0,2,3,8,1,4,6,2,1,16,1,9,3,9,1,4,0,2,5,0,4,1,1,1,3,0
Cd200	1,1,0,0,1,3,0,1,0,0,0,3,2,0,1,1,3,3,3,2,1,4,0,1,0,1,0,0,0,0,2,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Tmem41b	0,0,0,1,0,0,0,0,0,2,2,0,1,3,0,0,3,1,6,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,3,2,0,3,0,0,0,0,0,1,0,1,0
Cnr1	0,2,1,2,2,6,0,0,0,3,1,3,6,3,2,15,36,4,13,5,2,4,0,4,0,0,0,0,0,0,1,0,38,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Sulf2	0,1,0,1,3,2,0,0,1,0,1,0,3,4,0,1,11,4,0,0,0,1,0,3,0,6,0,0,0,4,2,0,4,0,1,2,1,0,0,0,0,2,1,0,1,0,0
Capn5	2,2,0,0,0,0,2,0,0,2,0,0,2,0,0,3,3,2,1,3,5,1,1,0,1,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Nr2f1	9,1,0,1,2,1,0,0,1,1,3,1,0,5,2,8,7,6,7,4,3,0,5,1,1,0,2,0,0,0,6,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Slc35f1	0,1,1,0,3,5,0,2,0,1,3,2,2,3,1,7,6,12,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
